City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,59.25,76,75,5.75,broken clouds
1,Mount Gambier,AU,-37.8333,140.7667,60.94,69,66,7.99,broken clouds
2,Cusset,FR,46.13,3.4596,63.52,76,9,2.19,clear sky
3,New Norfolk,AU,-42.7826,147.0587,56.64,80,47,1.05,scattered clouds
4,Maridi,SS,4.9158,29.4742,71.89,89,68,2.64,broken clouds
5,Coronado,US,32.6859,-117.1831,69.4,86,75,4.61,broken clouds
6,Tiksi,RU,71.6872,128.8694,46.98,74,48,7.07,scattered clouds
7,Port Elizabeth,ZA,-33.918,25.5701,52.32,90,20,14.97,few clouds
8,Tadine,NC,-21.55,167.8833,75.79,86,19,10.29,few clouds
9,Bluff,NZ,-46.6,168.3333,46.8,79,8,4.16,clear sky
10,Zhoucheng,CN,35.9122,116.3117,88.79,54,0,6.69,clear sky
11,Rikitea,PF,-23.1203,-134.9692,73.27,64,2,6.38,clear sky
12,Altay,CN,47.8667,88.1167,76.6,23,30,9.13,scattered clouds
13,Hithadhoo,MV,-0.6,73.0833,81.7,71,99,0.65,overcast clouds
14,Otradnoye,RU,59.7775,30.8181,66.96,86,100,5.93,overcast clouds
15,Yellowknife,CA,62.456,-114.3525,63.09,50,42,8.25,scattered clouds
16,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,6.91,mist
17,Andenes,NO,69.3143,16.1194,50.94,81,100,0.0,overcast clouds
18,Clyde River,CA,70.4692,-68.5914,43.03,87,100,4.61,overcast clouds
19,Aleksandrov Gay,RU,50.147,48.5704,78.49,43,83,3.62,broken clouds
20,Atuona,PF,-9.8,-139.0333,77.41,70,24,16.11,few clouds
21,San Rafael,AR,-34.6177,-68.3301,54.1,38,70,5.64,broken clouds
22,Dikson,RU,73.5069,80.5464,51.06,69,100,15.99,overcast clouds
23,Kloulklubed,PW,7.0419,134.2556,75.7,75,100,8.75,heavy intensity rain
24,Albany,US,42.6001,-73.9662,74.79,67,52,2.82,broken clouds
25,Busselton,AU,-33.65,115.3333,57.51,55,81,9.69,broken clouds
26,Jamestown,US,42.097,-79.2353,71.19,88,0,9.22,clear sky
27,Mataura,NZ,-46.1927,168.8643,45.48,96,4,1.03,clear sky
28,Provideniya,RU,64.3833,-173.3,44.37,86,100,5.93,overcast clouds
29,Georgiyevskoye,RU,58.731,45.024,76.46,52,0,6.64,clear sky
30,Laguna,US,38.421,-121.4238,77.29,47,0,6.91,clear sky
31,Cape Town,ZA,-33.9258,18.4232,53.91,72,0,9.22,clear sky
32,Alice Springs,AU,-23.7,133.8833,81.95,12,0,10.36,clear sky
33,Terrell,US,32.736,-96.2753,84.69,53,1,15.79,clear sky
34,Norman Wells,CA,65.282,-126.8329,60.84,88,75,2.3,broken clouds
35,Carnarvon,AU,-24.8667,113.6333,66.65,43,12,16.6,few clouds
36,Qasigiannguit,GL,68.8193,-51.1922,39.25,98,100,2.01,overcast clouds
37,Ribeira Grande,PT,38.5167,-28.7,73.29,89,14,6.44,light rain
38,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,6.91,clear sky
39,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,12.66,scattered clouds
40,Thouars,FR,46.976,-0.2151,64.2,51,5,2.21,clear sky
41,Ushuaia,AR,-54.8,-68.3,35.26,75,40,16.11,scattered clouds
42,Vaini,TO,-21.2,-175.2,71.76,83,40,9.22,scattered clouds
43,Ponta Do Sol,PT,32.6667,-17.1,72.23,63,5,3.04,clear sky
44,Salihli,TR,38.4826,28.1477,79.47,27,0,2.48,clear sky
45,Jalu,LY,29.0331,21.5482,80.47,43,0,8.81,clear sky
46,Ust-Ilimsk,RU,58.0006,102.6619,74.14,44,96,6.02,overcast clouds
47,Kununurra,AU,-15.7667,128.7333,87.78,10,0,5.75,clear sky
48,Ancud,CL,-41.8697,-73.8203,43.23,92,100,3.2,light rain
49,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,64,7.0,broken clouds
50,Evensk,RU,61.95,159.2333,62.35,48,4,3.76,clear sky
51,Oriximina,BR,-1.7656,-55.8661,74.17,77,39,3.04,scattered clouds
52,Mayo,US,38.8876,-76.5119,79.12,79,0,1.01,clear sky
53,Selma,US,36.5708,-119.6121,87.85,34,0,8.05,clear sky
54,Port Alfred,ZA,-33.5906,26.891,57.38,71,80,19.33,light rain
55,Lazaro Cardenas,MX,17.9583,-102.2,78.93,84,59,3.76,broken clouds
56,Wurzburg,DE,49.7878,9.9361,69.24,61,25,2.89,scattered clouds
57,Waipawa,NZ,-41.4122,175.5153,45.37,90,100,6.35,overcast clouds
58,Kaniama,CD,-7.5667,24.1833,71.73,38,100,5.26,overcast clouds
59,Nanakuli,US,21.3906,-158.1547,82.35,56,0,12.66,clear sky
60,Mto Wa Mbu,TZ,-3.35,35.85,65.7,76,50,5.48,scattered clouds
61,Ferrol,ES,43.4832,-8.2369,64.72,95,1,2.17,clear sky
62,Harper,LR,4.375,-7.7169,74.77,76,97,5.86,overcast clouds
63,Lonoy,PH,11.5122,122.5533,86.02,75,100,3.91,overcast clouds
64,Matara,LK,5.9485,80.5353,83.55,72,93,14.74,overcast clouds
65,East London,ZA,-33.0153,27.9116,52.74,71,0,14.97,clear sky
66,Panjab,AF,34.388,67.0233,76.87,16,4,6.71,clear sky
67,Fredericksburg,US,38.3032,-77.4605,76.01,76,0,0.0,clear sky
68,Barrow,US,71.2906,-156.7887,37.42,87,100,9.22,mist
69,Longkou,CN,37.6508,120.3286,80.46,72,0,6.29,clear sky
70,Kuandian,CN,40.7286,124.7847,78.01,73,72,4.27,broken clouds
71,Cayenne,GF,4.9333,-52.3333,81.09,1,20,0.0,few clouds
72,Borovichi,RU,58.3878,33.9155,70.18,80,58,4.88,broken clouds
73,Hokitika,NZ,-42.7167,170.9667,48.85,85,100,1.95,overcast clouds
74,Ossora,RU,59.2353,163.0719,56.79,68,9,7.16,clear sky
75,Winnemucca,US,40.973,-117.7357,69.85,16,0,0.0,clear sky
76,Kormilovka,RU,55.0026,74.1028,62.35,62,94,14.25,light rain
77,Port Augusta,AU,-32.5,137.7667,74.01,31,93,22.77,overcast clouds
78,Castro,BR,-24.7911,-50.0119,55.29,78,74,3.36,broken clouds
79,Wanning,CN,18.8003,110.3967,89.15,61,0,6.35,clear sky
80,Hermanus,ZA,-34.4187,19.2345,47.8,72,90,8.77,overcast clouds
81,Cidreira,BR,-30.1811,-50.2056,61.36,98,100,6.33,overcast clouds
82,Kieta,PG,-6.2167,155.6333,84.13,73,19,7.43,few clouds
83,Jawhar,SO,2.7809,45.5005,78.94,66,79,20.33,light rain
84,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,11.5,light rain
85,Carora,VE,10.1755,-70.0827,72.1,81,14,4.92,few clouds
86,Bandarbeyla,SO,9.4942,50.8122,84.61,53,46,30.22,scattered clouds
87,Lebu,CL,-37.6167,-73.65,51.12,93,100,6.64,overcast clouds
88,Plettenberg Bay,ZA,-34.0527,23.3716,52.72,79,97,6.49,light rain
89,Amarpatan,IN,24.3167,80.9833,88.57,59,61,5.88,broken clouds
90,Belmonte,BR,-15.8631,-38.8828,70.16,81,90,7.02,overcast clouds
91,Thalassery,IN,11.75,75.5333,82.87,69,100,8.03,overcast clouds
92,Bethel,US,41.3712,-73.414,77.36,82,0,3.44,clear sky
93,Sooke,CA,48.3746,-123.7276,64.51,89,16,29.93,few clouds
94,Khatanga,RU,71.9667,102.5,80.87,38,29,11.41,scattered clouds
95,Pangnirtung,CA,66.1451,-65.7125,49.23,76,47,1.07,scattered clouds
96,Iqaluit,CA,63.7506,-68.5145,46.13,93,100,2.3,overcast clouds
97,Sergiyevsk,RU,53.9413,51.165,76.39,59,64,6.08,broken clouds
98,Fairbanks,US,64.8378,-147.7164,57.67,62,84,4.23,broken clouds
99,Saskylakh,RU,71.9167,114.0833,69.42,51,25,3.8,scattered clouds
100,Avarua,CK,-21.2078,-159.775,70.68,57,94,16.24,overcast clouds
101,Atasu,KZ,48.6814,71.6433,81.7,25,0,11.36,clear sky
102,Berlevag,NO,70.8578,29.0864,50.0,93,100,18.41,drizzle
103,Bredasdorp,ZA,-34.5322,20.0403,50.23,72,64,2.26,broken clouds
104,Bengkulu,ID,-3.8004,102.2655,84.38,67,100,4.63,overcast clouds
105,Padampur,IN,29.6833,73.6167,94.62,50,98,15.93,overcast clouds
106,Mahebourg,MU,-20.4081,57.7,73.69,68,40,12.66,scattered clouds
107,Kruisfontein,ZA,-34.0033,24.7314,48.88,84,79,7.58,light rain
108,Zhanaozen,KZ,43.3,52.8,75.7,50,94,11.3,overcast clouds
109,Saint George,US,37.1041,-113.5841,90.25,34,0,8.05,clear sky
110,Souillac,MU,-20.5167,57.5167,73.78,68,40,12.66,scattered clouds
111,Kahului,US,20.8947,-156.47,80.62,62,20,19.57,few clouds
112,Butaritari,KI,3.0707,172.7902,82.09,77,60,17.18,light rain
113,Cabo San Lucas,MX,22.8909,-109.9124,80.51,83,77,4.52,broken clouds
114,Russell,US,32.3502,-85.1999,76.23,100,40,0.0,scattered clouds
115,Davila,PH,18.4726,120.5763,89.58,72,44,7.11,scattered clouds
116,Qaanaaq,GL,77.484,-69.3632,37.44,99,100,0.58,overcast clouds
117,Asau,RO,46.4333,26.4,83.95,56,27,2.17,scattered clouds
118,Tasiilaq,GL,65.6145,-37.6368,39.36,93,70,8.41,broken clouds
119,Trairi,BR,-3.2778,-39.2689,75.54,89,15,10.38,few clouds
120,Wilmington,US,34.2257,-77.9447,81.86,90,0,0.0,clear sky
121,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,67.42,73,0,1.52,clear sky
122,Mar Del Plata,AR,-38.0023,-57.5575,50.09,98,100,1.01,fog
123,Kayseri,TR,38.737,35.4968,60.82,63,0,4.61,clear sky
124,Salalah,OM,17.0151,54.0924,77.09,88,100,9.22,overcast clouds
125,Georgetown,MY,5.4112,100.3354,87.73,78,20,8.05,few clouds
126,Lyuban,BY,52.7985,28.0048,67.89,91,100,9.71,overcast clouds
127,Carauari,BR,-4.8828,-66.8958,71.89,99,99,2.62,overcast clouds
128,Namibe,AO,-15.1961,12.1522,62.67,88,1,0.56,clear sky
129,Murgab,TM,37.4966,61.9714,91.27,31,0,11.5,clear sky
130,Igunga,TZ,-4.2833,33.8833,69.58,50,29,10.49,scattered clouds
131,Lagunas,PE,-5.2269,-75.6753,74.37,88,84,2.04,broken clouds
132,Darab,IR,28.7519,54.5444,93.33,28,16,4.81,few clouds
133,Cairns,AU,-16.9167,145.7667,79.07,50,15,11.5,few clouds
134,Tautira,PF,-17.7333,-149.15,79.93,73,2,15.68,light rain
135,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.53,100,100,0.51,overcast clouds
136,Ucluelet,CA,48.9329,-125.5528,58.08,88,21,3.31,few clouds
137,Camara De Lobos,PT,32.6333,-16.9667,72.23,78,20,3.44,few clouds
138,Singaparna,ID,-7.3515,108.111,77.25,81,94,6.22,overcast clouds
139,Kapaa,US,22.0752,-159.319,82.38,77,40,14.97,scattered clouds
140,Airai,TL,-8.9266,125.4092,69.33,50,29,3.53,scattered clouds
141,Suamico,US,44.6319,-88.0393,70.75,90,73,8.01,broken clouds
142,Katsuura,JP,35.1333,140.3,81.19,77,99,14.63,overcast clouds
143,Rocha,UY,-34.4833,-54.3333,58.73,96,67,4.32,broken clouds
144,Vao,NC,-22.6667,167.4833,71.62,87,96,10.4,overcast clouds
145,Nikolskoye,RU,59.7035,30.7861,69.87,86,99,5.73,overcast clouds
146,Takoradi,GH,4.8845,-1.7554,73.45,88,34,6.49,scattered clouds
147,Beloha,MG,-25.1667,45.05,71.29,46,0,5.57,clear sky
148,Inirida,CO,3.8653,-67.9239,72.19,99,100,2.04,overcast clouds
149,Egvekinot,RU,66.3167,-179.1667,42.31,71,100,8.16,overcast clouds
150,Lavrentiya,RU,65.5833,-171.0,41.56,93,100,9.26,light rain
151,Zeerust,ZA,-25.5369,26.0751,54.82,61,42,3.27,scattered clouds
152,Omboue,GA,-1.5746,9.2618,69.51,88,29,3.51,scattered clouds
153,Kattivakkam,IN,13.2167,80.3167,87.89,75,100,6.87,heavy intensity rain
154,Atar,MR,20.5169,-13.0499,82.98,61,100,5.46,overcast clouds
155,San Luis,AR,-33.295,-66.3356,58.08,73,17,4.12,few clouds
156,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,moderate rain
157,Bonavista,CA,48.6499,-53.1147,61.66,90,5,9.73,clear sky
158,Ekhabi,RU,53.5102,142.9671,66.99,72,2,14.9,clear sky
159,Caranavi,BO,-15.8167,-67.55,64.96,76,97,2.24,overcast clouds
160,Tamiahua,MX,21.2667,-97.45,80.11,87,7,12.75,clear sky
161,Rio Grande,BR,-32.035,-52.0986,57.94,99,93,6.67,overcast clouds
162,Antofagasta,CL,-23.65,-70.4,56.48,85,2,1.81,clear sky
163,Gelemso,ET,8.8167,40.5167,67.37,60,61,4.5,broken clouds
164,Puerto Ayacucho,VE,5.6639,-67.6236,73.17,96,97,5.53,overcast clouds
165,Pilar,BR,-9.5972,-35.9567,75.13,92,38,4.61,scattered clouds
166,Pula,HR,44.8683,13.8481,86.56,37,0,14.97,clear sky
167,Khao Yoi,TH,13.2403,99.8243,87.94,68,99,5.1,moderate rain
168,Millinocket,US,45.6573,-68.7098,69.91,88,0,0.0,clear sky
169,Katete,UG,-0.7818,29.7544,72.99,45,7,0.89,clear sky
170,Saldanha,ZA,-33.0117,17.9442,37.45,73,0,9.19,clear sky
171,Maumere,ID,-8.6199,122.2111,80.71,55,22,9.55,few clouds
172,Klaksvik,FO,62.2266,-6.589,50.54,91,99,24.92,overcast clouds
173,Benicarlo,ES,40.4165,0.4271,79.9,74,0,2.8,clear sky
174,Kavaratti,IN,10.5669,72.642,81.36,76,98,16.28,overcast clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,92,83,4.41,broken clouds
176,Tokur,RU,53.1333,132.9,82.13,33,18,0.81,few clouds
177,Nome,US,64.5011,-165.4064,50.07,81,100,10.36,overcast clouds
178,Tura,IN,25.5198,90.2201,78.15,89,100,1.05,overcast clouds
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,100,3.44,overcast clouds
180,Panalingaan,PH,8.7842,117.4231,84.33,76,87,3.6,overcast clouds
181,Netanya,IL,32.3329,34.8599,80.62,60,1,8.19,clear sky
182,Fortuna,US,40.5982,-124.1573,57.34,83,11,1.81,few clouds
183,Mahibadhoo,MV,3.7833,72.9667,82.63,73,92,12.08,overcast clouds
184,Parana,AR,-31.732,-60.5238,67.55,93,1,4.52,clear sky
185,Gilgit,PK,35.9221,74.3087,89.82,43,94,3.87,overcast clouds
186,Thompson,CA,55.7435,-97.8558,53.76,82,75,2.3,broken clouds
187,Pisco,PE,-13.7,-76.2167,58.14,91,26,1.45,scattered clouds
188,Na Klang,TH,17.3072,102.1889,83.57,73,89,2.35,overcast clouds
189,Yulara,AU,-25.2406,130.9889,82.24,18,0,19.57,clear sky
190,Kawalu,ID,-7.3817,108.2082,77.18,83,97,6.08,overcast clouds
191,Acapulco,MX,16.8634,-99.8901,80.42,74,75,4.61,broken clouds
192,Celestun,MX,20.8667,-90.4,75.29,84,100,9.98,overcast clouds
193,Brae,GB,60.3964,-1.353,54.0,96,100,23.91,moderate rain
194,Ambulu,ID,-8.345,113.6058,82.4,57,66,12.55,broken clouds
