City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-07-20 22:41:22,62.456,-114.3525,68.52,42,75,13.8
1,Moroleon,MX,2022-07-20 22:48:07,20.1333,-101.2,83.25,31,88,2.89
2,Ushuaia,AR,2022-07-20 22:44:28,-54.8,-68.3,31.66,86,100,18.41
3,Nanortalik,GL,2022-07-20 22:48:08,60.1432,-45.2371,49.93,86,23,13.67
4,Maputo,MZ,2022-07-20 22:48:08,-25.9653,32.5892,67.68,88,75,6.91
5,Qaanaaq,GL,2022-07-20 22:41:14,77.484,-69.3632,40.91,80,100,2.37
6,Coahuayana,MX,2022-07-20 22:45:24,18.7333,-103.6833,90.34,62,43,5.59
7,Georgetown,MY,2022-07-20 22:43:53,5.4112,100.3354,80.89,90,20,3.44
8,Mahebourg,MU,2022-07-20 22:39:04,-20.4081,57.7,68.29,73,40,14.97
9,Dikson,RU,2022-07-20 22:41:45,73.5069,80.5464,40.77,76,47,26.84
10,Trapani,IT,2022-07-20 22:48:11,37.8333,12.6667,79.27,73,0,2.3
11,Stromness,GB,2022-07-20 22:48:12,58.965,-3.296,54.88,89,100,7.0
12,Vanavara,RU,2022-07-20 22:48:12,60.34,102.2797,57.54,80,40,5.12
13,Dunedin,NZ,2022-07-20 22:45:29,-45.8742,170.5036,44.8,68,100,11.01
14,Puerto Ayora,EC,2022-07-20 22:41:23,-0.7393,-90.3518,75.16,100,93,8.01
15,Sabancuy,MX,2022-07-20 22:46:22,18.9667,-91.1833,85.12,70,48,10.76
16,Cherskiy,RU,2022-07-20 22:39:55,68.75,161.3,45.95,46,13,16.4
17,Fort Nelson,CA,2022-07-20 22:46:08,58.8053,-122.7002,76.59,33,40,5.75
18,Paramonga,PE,2022-07-20 22:48:14,-10.6667,-77.8333,62.85,81,15,11.72
19,Rikitea,PF,2022-07-20 22:44:40,-23.1203,-134.9692,73.47,74,0,3.6
20,Laela,TZ,2022-07-20 22:48:15,-8.5667,32.05,59.36,63,90,2.19
21,Saskylakh,RU,2022-07-20 22:47:02,71.9167,114.0833,44.82,69,63,15.19
22,Kavaratti,IN,2022-07-20 22:44:38,10.5669,72.642,81.05,79,100,19.89
23,Moron,AR,2022-07-20 22:48:16,-34.6534,-58.6198,62.06,72,39,6.4
24,New Norfolk,AU,2022-07-20 22:45:59,-42.7826,147.0587,35.71,84,4,1.79
25,Libertador General San Martin,AR,2022-07-20 22:48:16,-23.8064,-64.7876,61.81,65,85,3.89
26,Mataura,NZ,2022-07-20 22:44:53,-46.1927,168.8643,41.49,85,100,2.84
27,Atar,MR,2022-07-20 22:48:17,20.5169,-13.0499,93.85,22,36,12.12
28,Sovetskiy,RU,2022-07-20 22:48:17,61.3614,63.5842,58.57,86,99,7.31
29,Hermanus,ZA,2022-07-20 22:40:52,-34.4187,19.2345,50.95,70,1,4.32
30,Hobart,AU,2022-07-20 22:43:52,-42.8794,147.3294,36.05,92,0,4.61
31,Faanui,PF,2022-07-20 22:47:20,-16.4833,-151.75,77.94,65,0,9.51
32,Cidreira,BR,2022-07-20 22:41:27,-30.1811,-50.2056,62.17,92,0,17.11
33,Bluff,NZ,2022-07-20 22:40:00,-46.6,168.3333,40.8,71,100,6.62
34,Clyde River,CA,2022-07-20 22:40:06,70.4692,-68.5914,37.63,100,100,9.22
35,Flinders,AU,2022-07-20 22:42:54,-34.5833,150.8552,53.19,94,100,7.0
36,Port Macquarie,AU,2022-07-20 22:47:07,-31.4333,152.9167,57.09,94,100,10.36
37,Severo-Kurilsk,RU,2022-07-20 22:47:25,50.6789,156.125,52.72,97,99,11.3
38,Lamar,US,2022-07-20 22:48:20,33.6668,-95.5836,109.63,35,0,5.75
39,Albany,US,2022-07-20 22:39:50,42.6001,-73.9662,93.16,51,47,4.0
